resultId,raceId,driverId,constructorId,grid,positionOrder,points_x,laps,time_x,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name_x,date,time_y,name_y,location,country,lat,lng,alt,status,constructorStandingsId,wins,stop_1_ms,stop_2_ms,stop_3_ms,stop_1_lap,stop_2_lap,stop_3_lap,lap_1_ms,lap_2_ms,lap_3_ms,lap_4_ms,lap_5_ms,lap_6_ms,lap_7_ms,lap_8_ms,lap_9_ms,lap_10_ms,lap_11_ms,lap_12_ms,lap_13_ms,lap_14_ms,lap_15_ms,lap_16_ms,lap_17_ms,lap_18_ms,lap_19_ms,lap_20_ms,lap_21_ms,lap_22_ms,lap_23_ms,lap_24_ms,lap_25_ms,lap_26_ms,lap_27_ms,lap_28_ms,lap_29_ms,lap_30_ms,lap_31_ms,lap_32_ms,lap_33_ms,lap_34_ms,lap_35_ms,lap_36_ms,lap_37_ms,lap_38_ms,lap_39_ms,lap_40_ms,lap_41_ms,lap_42_ms,lap_43_ms,lap_44_ms,lap_45_ms,lap_46_ms,lap_47_ms,lap_48_ms,lap_49_ms,lap_50_ms,lap_51_ms,lap_52_ms,lap_53_ms,lap_54_ms,lap_55_ms,lap_56_ms,lap_57_ms,lap_58_ms,lap_59_ms,lap_60_ms,lap_61_ms,lap_62_ms,lap_63_ms,lap_64_ms,lap_65_ms,lap_66_ms,lap_67_ms,lap_68_ms,lap_69_ms,lap_70_ms,lap_71_ms,lap_72_ms,lap_73_ms,lap_74_ms,lap_75_ms,lap_76_ms,lap_77_ms,lap_78_ms
22538,926,1,131,1,1,25.0,58,1:31:54.067,5514067,50,1,1:30.945,209.915,1,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Finished,26140,1,22295.0,,,25.0,,,142988.0,146005.0,133785.0,93493.0,92765.0,92685.0,92593.0,92899.0,92933.0,92911.0,92742.0,92432.0,92491.0,93033.0,93177.0,92458.0,92148.0,92462.0,92347.0,92306.0,91940.0,92405.0,92791.0,92925.0,111204.0,99012.0,93021.0,93241.0,92824.0,92005.0,91676.0,91953.0,91875.0,93071.0,91995.0,91562.0,91514.0,91134.0,91208.0,91825.0,91347.0,91982.0,91541.0,91693.0,91229.0,91177.0,91649.0,91224.0,91023.0,90945.0,91804.0,92242.0,91708.0,91273.0,91358.0,90993.0,91400.0,91645.0,,,,,,,,,,,,,,,,,,,,
22539,926,3,131,2,2,18.0,58,+1.360,5515427,47,2,1:31.092,209.577,1,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Finished,26140,1,22105.0,,,26.0,,,144350.0,145242.0,134420.0,94638.0,93068.0,92371.0,92827.0,92460.0,92380.0,92572.0,93184.0,92650.0,92752.0,92930.0,93576.0,92324.0,92300.0,92365.0,92243.0,92426.0,92454.0,93011.0,92948.0,93048.0,93964.0,111568.0,98552.0,92092.0,92108.0,91754.0,91609.0,91737.0,91660.0,92981.0,91775.0,91355.0,91610.0,91573.0,91565.0,91798.0,91400.0,91493.0,91259.0,92243.0,91231.0,91319.0,91092.0,91332.0,91141.0,91384.0,91443.0,91678.0,91688.0,91411.0,91372.0,91366.0,91189.0,91146.0,,,,,,,,,,,,,,,,,,,,
22540,926,20,6,4,3,15.0,58,+34.523,5548590,52,4,1:31.457,208.740,1,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Finished,26141,0,22694.0,,,24.0,,,147522.0,144069.0,133846.0,95361.0,94027.0,93438.0,93197.0,93754.0,92991.0,93074.0,93490.0,93597.0,93513.0,93374.0,93853.0,93173.0,93229.0,93146.0,93168.0,93145.0,92859.0,92307.0,92664.0,111263.0,98543.0,92115.0,92429.0,92670.0,92432.0,92518.0,92698.0,92443.0,92300.0,92856.0,92633.0,92567.0,92456.0,92518.0,93729.0,92644.0,92673.0,92653.0,92129.0,92334.0,92288.0,92054.0,92259.0,92037.0,92127.0,91754.0,91578.0,91457.0,91492.0,91847.0,91719.0,91478.0,91717.0,93383.0,,,,,,,,,,,,,,,,,,,,
22541,926,13,3,3,4,12.0,58,+38.196,5552263,50,6,1:31.719,208.144,1,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Finished,26142,0,22062.0,,,21.0,,,146113.0,144418.0,134436.0,95150.0,93928.0,93470.0,93205.0,93576.0,93212.0,93054.0,93171.0,93484.0,93355.0,93354.0,93517.0,93247.0,93159.0,93245.0,93195.0,93141.0,111561.0,98947.0,94555.0,92072.0,93042.0,92580.0,93059.0,93220.0,93118.0,92910.0,92755.0,92813.0,92776.0,92857.0,92612.0,92607.0,92293.0,92444.0,92910.0,92776.0,92747.0,92358.0,92141.0,92091.0,91947.0,92273.0,92073.0,91802.0,91931.0,91719.0,91859.0,91857.0,92289.0,91784.0,91944.0,91753.0,92000.0,92358.0,,,,,,,,,,,,,,,,,,,,
22542,926,831,15,10,5,10.0,58,+1:35.149,5609216,46,9,1:32.612,206.137,1,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Finished,26143,0,22933.0,,,25.0,,,149928.0,143809.0,132364.0,96284.0,95148.0,94761.0,94263.0,94505.0,94330.0,94164.0,93945.0,94047.0,94211.0,94180.0,94385.0,93596.0,93549.0,93850.0,93745.0,94118.0,94248.0,93722.0,94264.0,94091.0,114815.0,100836.0,92766.0,92931.0,93376.0,93459.0,93466.0,93585.0,93385.0,93234.0,93887.0,93435.0,93221.0,93019.0,93429.0,93127.0,92739.0,92855.0,92905.0,93058.0,93440.0,92612.0,92632.0,93013.0,93188.0,93766.0,93919.0,93797.0,94053.0,93015.0,92788.0,93371.0,93957.0,96630.0,,,,,,,,,,,,,,,,,,,,
22543,926,817,9,6,6,8.0,57,\N,\N,46,10,1:32.797,205.726,11,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+1 Lap,26144,0,22535.0,,,23.0,,,150426.0,143889.0,132122.0,96675.0,95092.0,94810.0,94420.0,94510.0,94213.0,94236.0,94037.0,94029.0,93991.0,94354.0,94629.0,94082.0,94340.0,94963.0,94456.0,94288.0,94688.0,94649.0,113800.0,99811.0,93836.0,93761.0,93543.0,93574.0,93102.0,92939.0,93207.0,93139.0,93128.0,93167.0,93005.0,93063.0,92934.0,92900.0,93231.0,93172.0,93003.0,93030.0,93045.0,93377.0,94615.0,92797.0,93253.0,94021.0,94011.0,93121.0,93690.0,93224.0,93332.0,93342.0,93934.0,98234.0,96576.0,,,,,,,,,,,,,,,,,,,,,
22544,926,807,10,13,7,6.0,57,\N,\N,48,8,1:31.970,207.576,11,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+1 Lap,26145,0,22137.0,21612.0,,21.0,44.0,,153291.0,144593.0,129971.0,97991.0,95944.0,95314.0,95164.0,95427.0,94908.0,95057.0,95027.0,94721.0,94772.0,94820.0,95115.0,94734.0,94765.0,94710.0,94815.0,94987.0,112768.0,99484.0,93521.0,93857.0,94403.0,94608.0,94317.0,94385.0,94415.0,94366.0,94287.0,94215.0,94012.0,94276.0,93759.0,94163.0,93869.0,93980.0,94013.0,93956.0,94363.0,94132.0,97500.0,111359.0,100857.0,92240.0,92273.0,91970.0,91975.0,92071.0,92406.0,93116.0,92731.0,92521.0,92950.0,92676.0,93330.0,,,,,,,,,,,,,,,,,,,,,
22545,926,828,15,15,8,4.0,57,\N,\N,51,5,1:31.560,208.505,11,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+1 Lap,26143,0,22681.0,23254.0,22353.0,1.0,26.0,43.0,166959.0,133281.0,129284.0,98426.0,96659.0,94748.0,94755.0,94677.0,94917.0,95035.0,94845.0,94577.0,94650.0,95228.0,95184.0,94728.0,94686.0,94369.0,94741.0,95006.0,95136.0,94637.0,95197.0,96055.0,96969.0,118722.0,101614.0,93724.0,93564.0,93866.0,93453.0,93258.0,93463.0,93323.0,94025.0,94115.0,93841.0,94202.0,96198.0,94112.0,94785.0,94061.0,120550.0,100817.0,92101.0,91600.0,91981.0,91931.0,91911.0,91727.0,91560.0,92721.0,93613.0,93364.0,92469.0,92490.0,92143.0,,,,,,,,,,,,,,,,,,,,,
22546,926,832,5,7,9,2.0,57,\N,\N,49,11,1:32.872,205.560,11,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+1 Lap,26146,0,55789.0,,,24.0,,,148880.0,143584.0,133584.0,97662.0,95195.0,94557.0,95417.0,94392.0,94604.0,94350.0,94588.0,94561.0,94846.0,94740.0,94708.0,94234.0,94313.0,94522.0,94232.0,94696.0,94300.0,94799.0,94933.0,146974.0,100615.0,93226.0,93081.0,93462.0,94067.0,93566.0,93706.0,94073.0,96786.0,95504.0,95640.0,95828.0,95719.0,95781.0,94286.0,96271.0,93544.0,93428.0,93971.0,93529.0,93459.0,93869.0,93570.0,93229.0,92872.0,93024.0,93074.0,93646.0,93449.0,94977.0,93366.0,94074.0,95328.0,,,,,,,,,,,,,,,,,,,,,
22547,926,815,10,14,10,1.0,57,\N,\N,46,7,1:31.959,207.601,11,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+1 Lap,26145,0,26009.0,,,38.0,,,153942.0,144532.0,130016.0,100153.0,97226.0,96967.0,98563.0,95410.0,96096.0,96174.0,95801.0,97405.0,96232.0,103446.0,95629.0,95380.0,95657.0,95395.0,95803.0,95217.0,95685.0,95663.0,95245.0,95783.0,95442.0,95712.0,96349.0,96692.0,95863.0,95090.0,95046.0,95675.0,96666.0,96423.0,95764.0,95817.0,94871.0,120409.0,99395.0,91995.0,92025.0,92552.0,93201.0,92359.0,92274.0,91959.0,92125.0,92335.0,92212.0,92696.0,92560.0,92948.0,93392.0,93260.0,93724.0,95745.0,94997.0,,,,,,,,,,,,,,,,,,,,,
22548,926,18,1,16,11,0.0,56,\N,\N,56,12,1:33.338,204.534,12,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,+2 Laps,26147,0,23353.0,,,27.0,,,154851.0,144513.0,129601.0,98571.0,97812.0,96461.0,96027.0,96674.0,96378.0,96925.0,96418.0,97360.0,96187.0,97545.0,96676.0,96243.0,96328.0,95995.0,96163.0,96138.0,96193.0,96217.0,95643.0,95569.0,95448.0,95845.0,115831.0,101542.0,94964.0,94898.0,95926.0,96947.0,95934.0,96961.0,95420.0,94893.0,95124.0,94945.0,95133.0,94860.0,95024.0,96083.0,95475.0,98364.0,95414.0,94526.0,94727.0,94512.0,95167.0,97880.0,95804.0,95688.0,95542.0,95344.0,94240.0,93338.0,,,,,,,,,,,,,,,,,,,,,,
22549,926,8,6,5,12,0.0,40,\N,\N,36,3,1:31.426,208.811,36,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Wheel,26141,0,27465.0,22405.0,,16.0,40.0,,151903.0,143867.0,131256.0,97230.0,95071.0,94684.0,94126.0,94264.0,94239.0,94222.0,94061.0,93999.0,93898.0,94582.0,94486.0,117600.0,99215.0,91960.0,93242.0,92112.0,92009.0,92194.0,92335.0,94015.0,92322.0,92881.0,91681.0,91952.0,92053.0,91585.0,91947.0,91523.0,92003.0,92999.0,92154.0,91426.0,91697.0,91759.0,92310.0,111054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22550,926,830,5,11,13,0.0,32,\N,\N,30,13,1:34.295,202.458,5,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Engine,26146,0,23532.0,,,32.0,,,152685.0,143966.0,130745.0,97782.0,95735.0,95370.0,95040.0,95169.0,94721.0,95157.0,95126.0,95029.0,94588.0,95034.0,94982.0,94439.0,94301.0,94535.0,94842.0,94690.0,94546.0,94641.0,94477.0,94482.0,94805.0,94717.0,95096.0,94663.0,94529.0,94295.0,94829.0,114110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22551,926,154,208,8,14,0.0,0,\N,\N,\N,0,\N,\N,75,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,Power loss,26148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
